algorithm,input_size,n,execution_time_mean,execution_time_std,execution_time_ci95,nodes_expanded_mean,nodes_expanded_std,nodes_expanded_ci95,path_length_mean,path_length_std,path_length_ci95,time_improvement_pct,nodes_improvement_pct,path_length_delta
baseline_astar,20,10,0.000271183400000008,8.102700373360148e-05,5.022105722032096e-05,65.5,20.023597190426212,12.410754118013047,38.0,0.0,0.0,0.0,0.0,0.0
enhanced_weighted_astar_dynamic,20,10,0.00028591679999997457,6.590046680294484e-05,4.084553249726158e-05,56.3,16.905291742199804,10.478008377337535,42.2,4.565571644870382,2.8297706228204746,-5.433002167524323,14.045801526717561,4.200000000000003
baseline_astar,40,20,0.0007198562000000075,0.0003602405530355043,0.00015788238350854312,179.4,92.31205657699152,40.457542595196074,78.0,0.0,0.0,0.0,0.0,0.0
enhanced_weighted_astar,40,70,0.0006852107000000099,0.0004048704464372181,9.484689716852723e-05,142.74285714285713,92.30473879120524,21.623751857755792,82.91428571428571,4.081569949237378,0.9561681981682962,4.812836230346733,20.433189998407396,4.914285714285711
enhanced_weighted_astar_dynamic,40,20,0.0006036438500000241,9.850795523112067e-05,4.3173014907373196e-05,112.95,22.961008138512607,10.063105505809459,86.6,4.728413553914474,2.0723186099276893,16.143828447956995,37.04013377926421,8.599999999999994
enhanced_weighted_astar_nomemo,40,10,0.0005808706999999913,0.00010050551383547451,6.229396286063033e-05,120.5,25.404505287229842,15.745875509337536,83.4,3.533962208186286,2.190372469594054,19.30739778305928,32.83166109253066,5.400000000000006
baseline_astar,60,10,0.0020530872999999896,0.0019411246396382874,0.001203121516371988,497.9,452.64051225374567,280.5494960774895,118.2,0.6324555320336759,0.39199999999999996,0.0,0.0,0.0
enhanced_weighted_astar_dynamic,60,10,0.0009451541000000119,0.00015151746691350704,9.391149894619343e-05,175.2,36.605403365562786,22.688264063656835,131.8,4.157990967870046,2.5771495019799593,53.96425178802593,64.81221128740711,13.600000000000009
